ストーリー	場所	時代	タイトル	内容	緯度	経度	ストーリー	写真等	注記	出典			
日本橋	日本橋	江戸	食事	寿司	35.676882	139.770122	｢観劇したらお腹すいちゃった｣｢なにか食べる？｣｢このあたりならなんでもあるから目移りしちゃう｣｢お寿司に天ぷら、あとそばとうなぎのどれかかな｣｢帰りに千疋屋で果物買って帰りましょ｣｢いいわね、きっと家族も喜ぶわ｣｢じゃあ今日は天ぷらの気分だから、天ぷら食べて帰りましょう｣｢そうね、キスの天ぷらが食べたいなぁ｣	http://www9.nhk.or.jp/das/image/D0004500/D0004500414_00000_S_001.jpg	https://www2.nhk.or.jp/archives/michi/cgi/detail.cgi?dasID=D0004500414_00000				
日本橋	日本橋	江戸		天ぷら									
日本橋	日本橋	江戸		うなぎ									
日本橋	日本橋	江戸		そば									
日本橋	日本橋	江戸	街のこと		35.684115	139.77451	｢今日は楽しかったね｣｢色々見たし買ったし、楽しかったよ｣｢日本橋を満喫した！って感じね｣｢うんうん。また一緒に遊びに来よう！｣｢もちろん！｣						
													
品川宿・日本橋共通	日本橋	大正・昭和	日本橋概観	失われたもの	35.684115	139.77451							
品川宿・日本橋共通	日本橋	大正・昭和	日本橋概観	つくられたもの	35.684115	139.77451	大東京寫眞帖（時代下るため他探したい）に見る帝都復興。大きな被害を受けた東京は、、、	S15					
品川宿・日本橋共通	日本橋	大正・昭和	日本橋概観	魚河岸	35.684393	139.774932	関東大震災で壊滅した日本橋の魚河岸は、震災前から続いていた移転計画を推し進め、築地へと移転しました。築地市場開設後、日本橋は現代へと続くオフィス街へと発展をしていきます。	写真・画像一覧タブ参照					
品川宿・日本橋共通	日本橋	大正・昭和	後藤新平	エピソード			（夫人による）	http://dl.ndl.go.jp/info:ndljp/pid/1170340	p216－				
品川宿・日本橋共通	日本橋	大正・昭和	後藤新平	上記他にないか・・（15日探索）									
品川宿・日本橋共通	日本橋	大正・昭和	三井本館	失われたもの	35.68663	139.773584	三井本館には当時御三家と言われた三井銀行、旧三井物産、三井鉱山他が入居していた。建物の躯体は無事であったものの、内部は完全に消失してしまった。	https://www.mitsuipr.com/history/columns/016/images/2.jpg		https://www.mitsuipr.com/history/columns/016/			
品川宿・日本橋共通	日本橋	大正・昭和	三井本館	つくられたもの	35.68663	139.773584	三井総裁、団琢磨は構造体は無事であった三井本館を改築することを決意する。東京の復興への範を示すということ、グループのさらなる発展を企図してのものであった。	https://bunka.nii.ac.jp/db/heritages/detail/122874		https://www.mitsuipr.com/history/columns/016/			
品川宿・日本橋共通	日本橋	大正・昭和	三越呉服店	失われたもの	35.685628	139.773466	広告史に残る、三越宣伝部の浜田四郎が考案した名キャッチコピー「今日は帝劇、明日は三越」。三越呉服店は大正３年開業、大正10年の大増改築からほどなく、大正12年の関東大震災で全焼の憂き目にあいます。	https://www.kahaku.go.jp/research/db/science_engineering/namazu/03kanto/nihonbasi/nihonbasi_html/062-06.html					
品川宿・日本橋共通	日本橋	大正・昭和	三越呉服店	つくられたもの	35.685628	139.773466	全焼した三越呉服店は修復に着手、昭和２（1927）年に竣工、この改修により現在の姿になる。他にもあった塔は大正１０年増築の一つだけになり現在に至っている。	https://upload.wikimedia.org/wikipedia/commons/c/c3/Mitsukoshi_Nihonbashi_main_store_4.jpg					
品川宿・日本橋共通	日本橋	大正・昭和	にんべん	失われたもの	35.6867	139.774088	伊勢出身の初代伊之助の時代から200年間、度重なる火災にも類焼を免れて焼け残ったため、「にんべんの門松は火災除けになる」と正月を迎える前にむしりとられてしまったというエピソードが残っています。その本店も関東大震災で惜しくも消失しました。			https://www.ninben.co.jp/story/history/02.html			
品川宿・日本橋共通	日本橋	大正・昭和	にんべん	つくられたもの	35.6867	139.774088	震災後早くも20日後には本郷に仮事務所を設置。10月5日から小石川駕籠町の仮営業所で営業を再開するなど素早い対応で帝都の復興にも寄与しました。大正13年（1924）には瀬戸物町に二代目社屋を新築。			https://www.ninben.co.jp/story/history/05.html			
品川宿・日本橋共通	品川	大正・昭和	品川概略	失われたもの	35.628471	139.737558	品川区作成の品川歴史探訪 関東大震災 ～語り継ぐ震災の記憶～	https://www.youtube.com/watch?v=lpQi5_JXu-s	品川概略	失われたもの	品川区作成の品川歴史探訪 関東大震災 ～語り継ぐ震災の記憶～	https://www.youtube.com/watch?v=lpQi5_JXu-s	版権未処理（動画）
品川宿・日本橋共通	品川	大正・昭和	品川駅周辺	失われたもの	35.628471	139.737558	多くの被災者が品川駅からも東京外に避難をしました。超満員の列車の写真。						
品川宿・日本橋共通	品川	大正・昭和	品川駅周辺？	失われたもの	35.628471	139.737558	竹内重雄スケッチ　関東大震災　品川駅周辺？	https://www.city.shinagawa.tokyo.jp/ct/image000009600/daisinsai9-1.jpg	版権未処理				
品川宿・日本橋共通	品川	大正・昭和	鮫洲海岸	失われたもの	35.60318	139.748238	竹内重雄スケッチ　関東大震災（一）鮫洲海岸より見る	https://ci.nii.ac.jp/ncid/BN14517101	書籍内容不明				
品川宿・日本橋共通	品川	大正・昭和	品川（場所不明）	失われたもの	35.628471	139.737558	竹内重雄スケッチ　関東大震災　すいとんや 品川町の被災状況は、家屋の全半壊547戸、土蔵・石蔵の全半壊27棟、被災者の数は1,783人に及び、圧死者が6人でした。 町民は青年団・町内会・在郷軍人会などと一緒に、罹災した人びとの救済にあたり、救護・炊き出しを行いました。	https://www.city.shinagawa.tokyo.jp/ct/image000009600/daisinsai9-2.jpg	版権未処理	https://www.city.shinagawa.tokyo.jp/PC/sangyo/sangyo-bunkazai/sangyo-bunkazai-rekisisanpo/sangyo-bunkazai-rekisisanpo-taisyozidai/hpg000006633.html			
品川宿・日本橋共通	品川	大正・昭和	品川の侠客	エピソード	35.628471	139.737558							
品川宿・日本橋共通		大正・昭和	大経寺（鈴ヶ森刑場跡）	失われたもの	35.591935	139.736541	大震火災殃死者供養塔　13回忌にあたり無縁の37名の供養をした石塔（蒲田文雄氏個人研究ｈｐによる：碑文の転記あり）	http://www5d.biglobe.ne.jp/~kabataf/kantoujisin_ishibumi/tokyo_sinagawa/sinagawa3.htm	版権未処理	http://www5d.biglobe.ne.jp/~kabataf/kantoujisin_ishibumi/tokyo_sinagawa/daikyouji/daikyouji_hibun.htm			
													
													
													
													
													
													
													
													
	以下、日本橋、品川画像　JSから												
	場所	時代	タイトル	-			-	ジャパンサーチ上のURL	-	オリジナルURL	緯度	経度	画像URL
	日本橋	江戸	日本橋附近の風景	-			-	https://jpsearch.go.jp/item/cobas-47798	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/19394	35.68268	139.7733	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/d550c9b1cc5616373300e1e148a466d6.jpg
	日本橋	江戸	名所江戸百景・日本橋雪晴	-			-	https://jpsearch.go.jp/item/cobas-55748	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/28636	35.68268	139.7733	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/9ab7d18ec31dfa4f069caddf99f9f03c.jpg
	日本橋	江戸	木曾街道續ノ壹・日本橋雪之曙	-			-	https://jpsearch.go.jp/item/cobas-56331	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/29342	35.68268	139.7733	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/cefed64af8e03a282b69825c0e48d67e.jpg
	日本橋	江戸	東海道五拾三次	-			-	https://jpsearch.go.jp/item/cobas-47577	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/18340	35.68268	139.7733	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/762e787296bb5819b9642226cab81f93.jpg
	日本橋	江戸	名所江戸百景・するがてふ	-			-	https://jpsearch.go.jp/item/cobas-55755	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/28643	35.68268	139.7733	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/ab93544af90290aba6381f4d60ebb2f2.jpg
	日本橋	江戸	「東海道」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_446_00_002	-	http://www.dh-jac.net/db/nishikie/NDL-446-00-002/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000011/w0000446/w0000000/w0000002.jpg
	日本橋	江戸	「東海道 日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C088	-	http://www.dh-jac.net/db/nishikie/0421-C088/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0421-C088.jpg
	日本橋	江戸	「東海道五十三対」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MAOV2705_12507_55	-	http://www.dh-jac.net/db/nishikie/MAOV2705_12507-55/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/MAOV/Books/MAOV2705_12507/MAOV2705_12507-55.jpg
	日本橋	江戸	「東海道五拾三次」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_534_00_001	-	http://www.dh-jac.net/db/nishikie/NDL-534-00-001/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000014/w0000534/w0000000/w0000001.jpg
	日本橋	江戸	「東海道五十三対」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_565_00_001	-	http://www.dh-jac.net/db/nishikie/NDL-565-00-001/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000014/w0000565/w0000000/w0000001.jpg
	日本橋	江戸	「東海道五十三対」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BM_2008_3037_04301	-	http://www.dh-jac.net/db/nishikie/BM-2008,3037.04301/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Prints/AM/BM-AM04301.jpg
	日本橋	江戸	「東海道五十三対」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_42966	-	http://www.dh-jac.net/db/nishikie/MFA-11.42966/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000011/w0000445/w0000000/w0000001.jpg
	日本橋	江戸	「東海道五十三駅」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_445_00_001	-	http://www.dh-jac.net/db/nishikie/NDL-445-00-001/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000011/w0000445/w0000000/w0000001.jpg
	日本橋	江戸	「東海道」 「五十三次日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_436_00_005	-	http://www.dh-jac.net/db/nishikie/NDL-436-00-005/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC166954.jpg
	日本橋	江戸	「東海道五十三次」 「日本橋～大磯」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_40137_MJEm	-	http://www.dh-jac.net/db/nishikie/MFA-11.40137.学/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC166954.jpg
	日本橋	江戸	「東海道五十三対」「東海道五十三対」 「品川」「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-arcUP3229	-	http://www.dh-jac.net/db/nishikie/arcUP3229/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP3229.jpg
	日本橋	江戸	「東海道五拾三次之内」「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-LOC02109	-	http://www.dh-jac.net/db/nishikie/LOC02109/portal/	35.68268	139.7733	http://lapis.nichibun.ac.jp/image?did=14&pic=0&fid=02109r.jpg
	日本橋	江戸	「東海道五十三次之内」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-tnm_C0012603	-	http://www.dh-jac.net/db/nishikie/tnm-C0012603/portal/	35.68268	139.7733	http://image.tnm.jp/image/thumb/C0012603.jpg
	日本橋	江戸	「東海道勝景従日本橋至荒井」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_37411a	-	http://www.dh-jac.net/db/nishikie/MFA-11.37411a/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC157336.jpg
	日本橋	江戸	「（隷書東海道）東海道」 「一」「五十三次」「日本橋（にほんばし）」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_21_5097	-	http://www.dh-jac.net/db/nishikie/MFA-21.5097/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC129240.jpg
	日本橋	江戸	「東海道勝景従日本橋至荒井」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_37411b	-	http://www.dh-jac.net/db/nishikie/MFA-11.37411b/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC157336.jpg
	日本橋	江戸	「東海道五十三次 五十三」「東海道五十三次 五十四」 「品川 日本橋二り」「日本橋 大尾」	-			-	https://jpsearch.go.jp/item/arc_nishikie-arcUP3094	-	http://www.dh-jac.net/db/nishikie/arcUP3094/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC157336.jpg
	日本橋	江戸	「東海道張交図会」 「日本橋」「品川」「川崎」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_17211	-	http://www.dh-jac.net/db/nishikie/MFA-11.17211/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC133279.jpg
	日本橋	江戸	「東海道 日本橋 品川 間 高輪」 「由良之助	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_43284	-	http://www.dh-jac.net/db/nishikie/MFA-11.43284/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC181645.jpg
	日本橋	江戸	「東海道五拾三次人物志」 「日本橋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_16019	-	http://www.dh-jac.net/db/nishikie/MFA-11.16019/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC181645.jpg
	日本橋	江戸	「（狂歌入東海道）東海道五拾三次」 「日本橋（にほんばし）」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_21_9109	-	http://www.dh-jac.net/db/nishikie/MFA-21.9109/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC144360.jpg
	日本橋	江戸	「東海道五十三次之内」 「日本橋」「水売」	-			-	https://jpsearch.go.jp/item/arc_nishikie-H_22_1_1_94	-	http://www.dh-jac.net/db/nishikie/H-22-1-1-94/portal/	35.68268	139.7733	http://www.rekihaku.ac.jp/GAZO/nishikie/shiryou/133731531735/019.jpg
	日本橋	江戸	「東海道五十三次之内 日本橋」 「水売」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_43299	-	http://www.dh-jac.net/db/nishikie/MFA-11.43299/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC181660.jpg
	日本橋	江戸	「東海道五十三次の内」 「日本橋 水売」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_266_00_003	-	http://www.dh-jac.net/db/nishikie/NDL-266-00-003/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000010/w0000266/w0000000/w0000003.jpg
	日本橋	江戸	「東海道五十三次之内 日本橋 水売」	-			-	https://jpsearch.go.jp/item/arc_nishikie-N274_001	-	http://www.dh-jac.net/db/nishikie/N274-001/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/N274-001.jpg
	日本橋	江戸	「（行書東海道）東海道五十三次之内」 「日本橋（にほんばし）」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_21_8978	-	http://www.dh-jac.net/db/nishikie/MFA-21.8978/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC133756.jpg
	日本橋	江戸	「（行書東海道）東海道五十三次之内」 「日本橋」「曙旅立之図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_39973	-	http://www.dh-jac.net/db/nishikie/MFA-11.39973/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC156387.jpg
	日本橋	江戸	「（行書東海道）東海道五十三次之内」 「日本橋」「曙旅立の図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_2225	-	http://www.dh-jac.net/db/nishikie/MFA-11.2225/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC151106.jpg
	日本橋	江戸	「東海道 日本橋品川間 高輪」「由良之助」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_29439	-	http://www.dh-jac.net/db/nishikie/MFA-11.29439/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC171968.jpg
	日本橋	江戸	「東海道」 「日本橋品川間 高輪」「由良之助」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MM0616_03	-	http://www.dh-jac.net/db/nishikie/MM0616_03/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/marega/MM0616/MM0616_03.jpg
	日本橋	江戸	「東海道五拾三次之内」 「日本橋」「朝之景」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_06_2553	-	http://www.dh-jac.net/db/nishikie/MFA-06.2553/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC163266.jpg
	日本橋	江戸	「東海道五拾三次之内」 「日本橋」「朝之景」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_30185	-	http://www.dh-jac.net/db/nishikie/MFA-11.30185/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC164627.jpg
	日本橋	江戸	「東海道五十三次の内」 「日本橋」「松魚売」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_29374_MJEm	-	http://www.dh-jac.net/db/nishikie/MFA-11.29374.学/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC171062.jpg
	日本橋	江戸	「東海道 一」 「五十三次之内 日本橋曙之図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-LOC01423	-	http://www.dh-jac.net/db/nishikie/LOC01423/portal/	35.68268	139.7733	http://lapis.nichibun.ac.jp/image?did=14&pic=0&fid=01423r.jpg
	日本橋	江戸	「東海道五拾三次之内」「日本橋」「行列振出」	-			-	https://jpsearch.go.jp/item/arc_nishikie-061_C003_001	-	http://www.dh-jac.net/db/nishikie/061-C003-001/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/061-C003-001.jpg
	日本橋	江戸	「東海道一ト眼千両」「日本橋 左金吾頼兼」	-			-	https://jpsearch.go.jp/item/arc_nishikie-WA_BE100	-	http://www.dh-jac.net/db/nishikie/WA-BE100/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/WA-BE100.jpg
